iter	Passed	Remaining
774	6181	1794
775	6190	1786
776	6200	1779
777	6210	1772
778	6219	1764
779	6228	1756
780	6238	1749
781	6247	1741
782	6257	1734
783	6267	1726
784	6277	1719
785	6286	1711
786	6294	1703
787	6308	1697
788	6319	1689
789	6330	1682
790	6339	1675
791	6350	1667
792	6366	1661
793	6376	1654
794	6387	1647
795	6396	1639
796	6404	1631
797	6413	1623
798	6422	1615
799	6432	1608
800	6441	1600
801	6450	1592
802	6460	1584
803	6469	1577
804	6478	1569
805	6486	1561
806	6494	1553
807	6502	1545
808	6509	1536
809	6518	1528
810	6527	1521
811	6536	1513
812	6545	1505
813	6554	1497
814	6562	1489
815	6570	1481
816	6577	1473
817	6584	1464
818	6592	1456
819	6600	1448
820	6608	1440
821	6616	1432
822	6624	1424
823	6632	1416
824	6642	1408
825	6650	1400
826	6658	1392
827	6666	1384
828	6673	1376
829	6683	1368
830	6691	1360
831	6699	1352
832	6707	1344
833	6714	1336
834	6723	1328
835	6731	1320
836	6738	1312
837	6746	1304
838	6753	1296
839	6761	1287
840	6769	1279
841	6776	1271
842	6784	1263
843	6792	1255
844	6799	1247
845	6807	1239
846	6814	1230
847	6821	1222
848	6829	1214
849	6838	1206
850	6846	1198
851	6854	1190
852	6863	1182
853	6871	1174
854	6879	1166
855	6887	1158
856	6895	1150
857	6902	1142
858	6910	1134
859	6918	1126
860	6926	1118
861	6934	1110
862	6942	1102
863	6949	1093
864	6957	1085
865	6965	1077
866	6972	1069
867	6979	1061
868	6986	1053
869	6993	1045
870	7001	1036
871	7009	1028
872	7017	1020
873	7025	1012
874	7034	1004
875	7043	997
876	7052	989
877	7061	981
878	7070	973
879	7078	965
880	7087	957
881	7095	949
882	7105	941
883	7113	933
884	7121	925
885	7130	917
886	7139	909
887	7147	901
888	7156	893
889	7164	885
890	7172	877
891	7180	869
892	7189	861
893	7199	853
894	7207	845
895	7215	837
896	7224	829
897	7232	821
898	7242	813
899	7250	805
900	7260	797
901	7269	789
902	7278	781
903	7287	773
904	7298	766
905	7307	758
906	7315	750
907	7324	742
908	7333	734
909	7340	726
910	7349	718
911	7358	710
912	7366	701
913	7375	693
914	7383	685
915	7392	677
916	7400	669
917	7408	661
918	7416	653
919	7424	645
920	7432	637
921	7451	630
922	7460	622
923	7468	614
924	7476	606
925	7486	598
926	7495	590
927	7504	582
928	7513	574
929	7520	566
930	7529	558
931	7537	549
932	7545	541
933	7553	533
934	7561	525
935	7570	517
936	7578	509
937	7586	501
938	7594	493
939	7602	485
940	7610	477
941	7618	469
942	7626	461
943	7635	452
944	7645	444
945	7654	436
946	7662	428
947	7672	420
948	7682	412
949	7692	404
950	7700	396
951	7709	388
952	7717	380
953	7727	372
954	7738	364
955	7746	356
956	7755	348
957	7764	340
958	7772	332
959	7782	324
960	7791	316
961	7799	308
962	7807	299
963	7815	291
964	7823	283
965	7831	275
966	7840	267
967	7850	259
968	7858	251
969	7866	243
970	7874	235
971	7882	227
972	7890	218
973	7898	210
974	7907	202
975	7916	194
976	7925	186
977	7943	178
978	7957	170
979	7967	162
980	7976	154
981	7985	146
982	7995	138
983	8003	130
984	8012	122
985	8020	113
986	8028	105
987	8036	97
988	8045	89
989	8054	81
990	8063	73
991	8072	65
992	8081	56
993	8090	48
994	8099	40
995	8108	32
996	8117	24
997	8126	16
998	8134	8
999	8143	0
